episode,reward,length,loss
205,-78.5078182409595,96,-2.95792818069458
206,-77.80664296625903,107,0.00018405914306640625
207,-227.17773016290704,112,-0.5398482084274292
208,-124.81797701612791,104,-1.7841770648956299
209,-208.68874741702984,98,1.2551841735839844
210,-103.99082343306975,118,0.6662359237670898
211,-60.459427025891145,101,-1.3215141296386719
212,-89.14212525621221,75,-0.6052722930908203
213,-96.04061207387078,97,0.42326223850250244
214,-134.34531868538113,106,-6.028472423553467
215,-145.8823783085083,148,0.30573272705078125
216,-215.92614084410621,140,-3.7274839878082275
217,-149.42094231208858,128,-1.4721829891204834
218,-57.549399796494384,76,-1.7817864418029785
219,-158.1754533573698,114,-5.539679050445557
220,-71.48618035815664,66,0.6858208179473877
221,-177.40619257696034,161,0.5965179204940796
222,-110.25098288715992,74,-1.997714877128601
223,-185.3740515747902,122,-1.8394747972488403
224,-75.01581543055224,82,2.490903854370117
225,-57.98680509429775,161,-1.5470505952835083
226,-112.24978978352144,121,1.3721535205841064
227,42.92142835299211,80,0.48824524879455566
228,-50.58620551319191,94,4.003757953643799
229,-114.56634297700697,134,1.3424205780029297
230,-197.1946890758,111,-1.5612366199493408
231,-130.3197905123262,99,1.003352403640747
232,-95.95826334536764,111,-2.4215173721313477
233,-123.63843629080095,84,-3.8161909580230713
234,-78.43592986162763,73,-4.851464748382568
235,-149.60641834666234,92,0.4872145652770996
236,-105.60530506378612,98,3.92376708984375
237,-290.2037938721716,144,-0.6985020041465759
238,-123.75360570906435,98,-2.1814353466033936
239,-48.353741267369124,137,0.8849745392799377
240,-191.45143107110044,106,-5.387626647949219
241,-89.96770937976575,94,-3.846534252166748
242,-238.93574618351602,100,-1.6704260110855103
243,-64.46075375019542,89,-1.6261394023895264
244,-78.39790772823582,117,1.7481646537780762
245,-137.49162691737772,141,-1.211652159690857
246,-53.392606675806746,68,-1.1224162578582764
247,-182.9321461241209,159,-2.0680184364318848
248,-99.4407193162225,155,-1.3496155738830566
249,-80.06722208323187,83,-1.9574415683746338
250,-128.7849945443361,168,-1.5939122438430786
251,-200.72303644999346,110,0.002602696418762207
252,-103.36050260244512,132,-1.612926959991455
253,-280.8229045939968,158,-0.7465626001358032
254,-75.64754313192284,127,1.3239569664001465
255,26.01797197019914,103,-3.340527057647705
256,-307.7285867410824,139,-3.569268226623535
257,-160.72504961211013,144,-3.3412280082702637
258,-111.5054258024524,71,0.3519395589828491
259,-89.59964333736073,136,-2.253304958343506
260,-165.94712210906533,106,-0.1859276294708252
261,-220.20642769588642,107,-5.074946880340576
262,-21.368985365225967,107,-1.0071836709976196
263,-93.81068223470794,104,1.695542335510254
264,-56.88565524195016,110,-0.9865356683731079
265,-74.46779790610836,73,0.5872788429260254
266,-433.6589255450205,138,-0.8330487012863159
267,-94.2366626507104,79,3.576293706893921
268,-94.73744273323999,95,-4.938436031341553
269,-126.55043733677999,119,1.0228512287139893
270,-46.826418853785285,73,1.9042106866836548
271,-112.38221937462927,92,2.221336841583252
272,-109.30006375906626,124,-3.2851266860961914
273,-158.29313984158807,104,-5.816619873046875
274,-83.66691504212449,85,-0.8081029653549194
275,-146.17004767399598,121,-8.771360397338867
276,-45.11871267915194,101,-0.1322993040084839
277,-150.83085150324888,141,-3.4802794456481934
278,-111.11145525185458,100,-4.5005621910095215
279,-203.33621456025259,124,-1.063183307647705
280,-114.18866979009546,105,-3.388812303543091
281,-83.32357892285906,80,-2.563384532928467
282,-160.57807222845435,165,-1.767408013343811
283,-101.28042050992065,157,-3.8547041416168213
284,-99.77873617018136,109,1.1679338216781616
285,-79.6961338537113,91,-2.776151657104492
286,-188.9220760101311,123,-0.42194777727127075
287,-56.05295447504892,82,1.4879229068756104
288,-28.32631582030291,100,-2.9891860485076904
289,-72.06664336641843,82,0.5042919516563416
290,-108.85600518510552,177,-5.099937915802002
291,-118.50764892135946,146,2.2695043087005615
292,-85.06867659440128,77,2.5158262252807617
